Unnamed: 0,state_name,fips_code,county_name,gop_votes,dem_votes,gop_dem_total,year,margin,per_gop,per_dem,perc_margin,gop_demperc,fips_code_lz,Dem_EV,Rep_EV,Lat,Lon,AvgLat,AvgLon,Pop,HH_Size,Female_Perc,Foreign_Perc,Vet_Perc,Median_Age,AmInd_Perc,Asian_Perc,Black_Perc,Hisp_Perc,White_Perc,Gini_Index,PC_PI,Bach_Perc,GradDeg_Perc,HSGrad_Perc,Unemp_Rate,SQM_AreaLand,cluster
1,Alabama,1001,Autauga County,19838,7503,27770,2020,12335,0.714368023046453,0.270183651422398,0.444184371624055,0.984551674468851,1001,306,232,-86.494165,32.500389,-86.7009353880599,32.8783251492537,55639,2.55,51.38,3.61,10.91,38.6,0.28,1.17,19.53,2.88,75.76,0.46,29804,16.69,11.62,31.38,4.9,594.45,5
2,Alabama,1003,Baldwin County,83544,24578,109679,2020,58966,0.761713728243328,0.22409029987509,0.537623428368238,0.985804028118418,1003,306,232,-87.762381,30.548923,-86.7009353880599,32.8783251492537,218289,2.56,51.49,4.16,11.21,43.2,0.69,0.93,8.77,4.56,85.44,0.46,33751,20.21,11.69,27.17,5.6,1589.83,5
3,Alabama,1005,Barbour County,5622,4816,10518,2020,806,0.534512264689104,0.457881726563986,0.0766305381251188,0.99239399125309,1005,306,232,-85.310038,31.844036,-86.7009353880599,32.8783251492537,25026,2.37,47.43,2.81,6.77,40.1,0.35,0.49,47.67,4.44,46.3,0.5,20074,7.28,4.33,35.74,7.0,885.0,14
4,Alabama,1007,Bibb County,7525,1986,9595,2020,5539,0.784262636789995,0.206982803543512,0.577279833246482,0.991245440333507,1007,306,232,-87.127659,33.030921,-86.7009353880599,32.8783251492537,22374,2.85,46.27,2.02,6.77,39.9,0.05,0.25,22.55,2.68,76.6,0.45,22626,7.4,3.95,45.07,6.6,622.47,12
5,Alabama,1009,Blount County,24711,2640,27588,2020,22071,0.895715528490648,0.0956937799043062,0.800021748586342,0.991409308394954,1009,306,232,-86.591491,33.9552429999999,-86.7009353880599,32.8783251492537,57755,2.7,50.35,4.68,7.69,41.0,0.1,0.41,1.4,9.28,93.97,0.47,25457,8.89,4.36,35.1,4.1,644.89,12
6,Alabama,1011,Bullock County,1146,3446,4613,2020,2300,0.248428354649903,0.747019293301539,0.498590938651637,0.995447647951442,1011,306,232,-85.701192,32.116327,-86.7009353880599,32.8783251492537,10173,2.84,45.17,1.7,3.7,39.7,0.0,1.35,68.61,8.1,26.18,0.5,20783,6.09,4.19,41.41,5.5,622.81,6
7,Alabama,1013,Butler County,5458,3965,9488,2020,1493,0.575252951096121,0.41789629005059,0.157356661045531,0.993149241146712,1013,306,232,-86.65355,31.773539,-86.7009353880599,32.8783251492537,19726,2.92,54.12,2.06,6.36,41.2,0.33,1.32,44.59,1.47,51.62,0.47,23415,10.1,5.85,46.49,8.8,776.83,14
8,Alabama,1015,Calhoun County,35101,15216,50983,2020,19885,0.688484396759704,0.298452425318243,0.390031971441461,0.986936822077948,1015,306,232,-85.819442,33.72546,-86.7009353880599,32.8783251492537,114324,2.5,51.96,3.33,9.99,39.5,0.31,0.81,21.16,3.85,73.3,0.46,26238,10.51,8.35,34.45,7.1,605.89,14
9,Alabama,1017,Chambers County,8753,6365,15284,2020,2388,0.572690395184507,0.416448573671814,0.156241821512693,0.98913896885632,1017,306,232,-85.266474,32.860439,-86.7009353880599,32.8783251492537,33427,2.42,52.35,2.26,7.47,41.9,0.24,1.1,40.0,2.52,56.89,0.42,24088,10.48,3.96,37.14,6.8,596.56,14
10,Alabama,1019,Cherokee County,10583,1624,12301,2020,8959,0.860336558003414,0.132021786846598,0.728314771156817,0.992358344850012,1019,306,232,-85.629194,34.179333,-86.7009353880599,32.8783251492537,26035,2.38,50.55,2.19,7.59,46.8,0.58,0.1,4.8,1.66,92.07,0.46,26231,6.28,6.66,39.15,4.6,553.52,12
