state_name,county_name,fips_code_lz,dem_votes_actuals,dem_votes_preds,gop_votes_actuals,gop_votes_preds,dem_diff,dem_perc_diff,gop_diff,gop_perc_diff
Alabama,Autauga County,1001,7439,8274.854849,20484,21155.8174,-835.854849,-0.101011421,-671.8174,-0.031755682
Alabama,Baldwin County,1003,24934,29821.71684,95798,105009.0793,-4887.71684,-0.163897903,-9211.0793,-0.08771698
Alabama,Barbour County,1005,4158,5557.875274,5606,7235.644661,-1399.875274,-0.25187238,-1629.644661,-0.225224529
Alabama,Bibb County,1007,1619,2408.144651,7572,8424.498322,-789.144651,-0.327698193,-852.498322,-0.10119277
Alabama,Blount County,1009,2576,3392.444853,25354,30342.98044,-816.444853,-0.240665623,-4988.98044,-0.164419591
Alabama,Bullock County,1011,2983,3818.883783,1101,1549.789662,-835.883783,-0.218881702,-448.789662,-0.289581014
Alabama,Butler County,1013,3251,4322.235993,5172,6245.941803,-1071.235993,-0.247843013,-1073.941803,-0.171942333
Alabama,Calhoun County,1015,13194,18253.15005,34912,39166.99515,-5059.15005,-0.277165861,-4254.99515,-0.108637263
Alabama,Chambers County,1017,5405,7378.454004,8711,10176.27197,-1973.454004,-0.267461721,-1465.27197,-0.143989073
Alabama,Cherokee County,1019,1553,2205.704026,11358,11614.12685,-652.704026,-0.295916414,-256.12685,-0.022053044
Alabama,Chilton County,1021,2698,4126.529729,16920,19092.27592,-1428.529729,-0.346181858,-2172.27592,-0.113777736
Alabama,Choctaw County,1023,2515,3841.572156,4103,4787.571158,-1326.572156,-0.34532012,-684.571158,-0.142989239
Alabama,Clarke County,1025,4927,7133.093663,6965,8978.948452,-2206.093663,-0.309275858,-2013.948452,-0.224296694
Alabama,Clay County,1027,993,1793.286955,5734,6503.716973,-800.286955,-0.446268208,-769.716973,-0.118350318
Alabama,Cleburne County,1029,605,924.6015104,6988,7420.278119,-319.6015104,-0.345664058,-432.278119,-0.058256323
Alabama,Coffee County,1031,4601,5876.274384,17495,18527.68258,-1275.274384,-0.217020905,-1032.68258,-0.055737277
Alabama,Colbert County,1033,7137,11643.53838,19714,19814.76385,-4506.53838,-0.387042,-100.76385,-0.005085291
Alabama,Conecuh County,1035,2580,3181.642641,3423,4318.750813,-601.642641,-0.18909812,-895.750813,-0.207409701
Alabama,Coosa County,1037,1478,2278.518528,3758,4015.859316,-800.518528,-0.351332903,-257.859316,-0.064210246
Alabama,Covington County,1039,2314,3228.926871,14677,16403.84605,-914.926871,-0.283353234,-1726.84605,-0.105270803
Alabama,Crenshaw County,1041,1457,2151.743178,5000,5108.204398,-694.743178,-0.322874581,-108.204398,-0.021182472
Alabama,Cullman County,1043,4039,5332.669107,38704,42501.0596,-1293.669107,-0.242593171,-3797.0596,-0.089340351
Alabama,Dale County,1045,4484,6879.947723,14476,16075.92501,-2395.947723,-0.348250862,-1599.92501,-0.099523045
Alabama,Dallas County,1047,10236,15137.30272,5190,7968.573286,-4901.30272,-0.323789701,-2778.573286,-0.348691439
Alabama,DeKalb County,1049,3758,4242.600888,25633,26569.91328,-484.600888,-0.114222596,-936.91328,-0.035262188
Alabama,Elmore County,1051,9774,12927.79964,31374,35224.16648,-3153.79964,-0.243954867,-3850.16648,-0.109304687
Alabama,Escambia County,1053,3964,5342.976335,10884,11672.71952,-1378.976335,-0.258091417,-788.71952,-0.067569474
Alabama,Etowah County,1055,10027,14081.51267,35653,38776.67195,-4054.51267,-0.287931614,-3123.67195,-0.080555442
Alabama,Fayette County,1057,1142,1873.835952,7158,8131.636045,-731.835952,-0.390554974,-973.636045,-0.119734336
Alabama,Franklin County,1059,1568,2386.86463,10417,10956.29618,-818.86463,-0.343071249,-539.29618,-0.04922249
Alabama,Geneva County,1061,1391,2070.219006,10929,11630.58916,-679.219006,-0.328090412,-701.58916,-0.060322753
Alabama,Greene County,1063,3133,3740.347704,885,892.1260232,-607.347704,-0.162377338,-7.1260232,-0.007987687
Alabama,Hale County,1065,3868,5871.158499,3369,4599.27075,-2003.158499,-0.341186241,-1230.27075,-0.267492569
Alabama,Henry County,1067,2263,2983.194116,6989,7204.472544,-720.194116,-0.241417115,-215.472544,-0.029908164
Alabama,Houston County,1069,11352,16433.89396,32469,37207.52296,-5081.89396,-0.309232491,-4738.52296,-0.127353895
Alabama,Jackson County,1071,3276,6328.15611,20073,22249.75464,-3052.15611,-0.482313656,-2176.75464,-0.097832748
Alabama,Jefferson County,1073,162112,191990.1261,131123,177596.3973,-29878.1261,-0.155623243,-46473.3973,-0.261679843
Alabama,Lamar County,1075,806,1615.417556,6033,7327.712537,-809.417556,-0.501057793,-1294.712537,-0.176687135
Alabama,Lauderdale County,1077,10326,13920.27115,32708,36114.02598,-3594.27115,-0.258204105,-3406.02598,-0.094313107
Alabama,Lawrence County,1079,2983,5855.389609,13024,13566.89961,-2872.389609,-0.490554822,-542.89961,-0.040016483
Alabama,Lee County,1081,25798,32607.17894,46020,47566.44308,-6809.17894,-0.208824534,-1546.44308,-0.03251122
